i,j,"H(i, j)"
136,137,236473077741.1596
137,51,4688803352.170858
137,52,303155101.9553894
137,53,-4991958454.126247
137,136,208623783390.1096
137,137,-454939000751.9522
137,138,236634455555.54556
138,52,4447215326.830739
138,53,264505605.91692668
138,54,-4711720932.747665
138,137,210811926275.75
138,138,-456745436851.56323
138,139,236774574316.23483
139,53,4159396426.8373227
139,54,267556838.3243119
139,55,-4426953265.161635
139,138,209019025624.3722
139,139,-454522333466.39905
139,140,236916958150.02786
140,54,3793786523.3367023
140,55,304373507.3126165
140,56,-4098160030.6493187
140,139,203031816498.44772
140,140,-448005117819.7177
140,141,237081354767.28403
141,55,3452427955.8401732
141,56,309034825.7543125
141,57,-3761462781.5944858
141,140,199725313527.43393
141,141,-444188907656.68005
141,142,237249703391.81143
142,56,3188872235.626715
142,57,274482240.8266973
142,58,-3463354476.4534125
142,141,201134249090.22095
142,142,-445185233346.68304
142,143,237398757544.38196
143,57,2976224608.3078604
143,58,234339332.82675502
143,59,-3210563941.1346154
143,142,204008001199.1245
143,143,-447719942560.60834
143,144,237525152812.04135
144,58,2810250033.396999
144,59,193495532.1921963
144,60,-3003745565.5891953
144,143,207908978254.6956
144,144,-451351535853.49585
144,145,237628561999.8141
145,59,2718274379.0728316
145,60,139172840.4212991
145,61,-2857447219.494131
145,144,215044722569.00732
145,145,-458322155340.4359
145,146,237701711172.8616
146,60,2668921140.3390827
146,61,92654730.7010413
146,62,-2761575871.040124
146,145,222018841753.56265
146,146,-465198985612.03046
146,147,237749646847.08862
147,61,2627432066.8218336
147,62,66236992.0145071
147,63,-2693669058.8363404
147,146,226200935687.61157
147,147,-469305637066.46027
147,148,237783600253.1905
148,62,2577458293.9926777
148,63,57464789.69860448
148,64,-2634923083.691282
148,147,227525096536.09302
148,148,-470550451154.54004
148,149,237812973240.76303
149,63,2580370801.098611
149,64,27133482.368186176
149,65,-2607504283.4667974
149,148,232889398582.84204
149,149,-475903956308.2828
149,150,237826682640.87527
150,64,2566689475.9619155
150,65,20326914.187138453
150,66,-2587016390.149054
150,149,234104023263.83826
150,150,-477094655717.4834
150,151,237836926587.53415
151,65,2549877957.1095815
151,66,18502090.298176307
151,67,-2568380047.4077578
151,150,234422610850.68018
151,151,-477387113614.1023
151,152,237846244758.9048
152,66,2565159003.6935477
152,67,1610016.5953582958
152,68,-2566769020.288906
152,151,237547958236.86053
152,152,-480526936533.3072
152,153,237847050272.46423
153,67,2531646590.3606997
153,68,17500725.59769395
153,69,-2549147315.9583936
153,152,234592465893.89597
153,153,-477529120924.8445
153,154,237855861124.6295
154,68,2549147315.9583936
154,70,-2549147315.9583936
154,153,237855861124.6295
154,154,-480810016881.1757
154,155,237855861124.6295
155,69,2578037096.4436593
155,70,-14485586.362279156
155,71,-2563551510.0813804
155,154,240551509026.97165
155,155,-483541756661.0647
155,156,237848659027.568
156,70,2576449857.0132084
156,71,-6457265.273853714
156,72,-2569992591.739355
156,155,239045379479.3877
156,156,-482037260414.8792
156,157,237845438486.73898
157,71,2605793754.1586804
157,72,-17962491.539633177
157,73,-2587831262.619047
157,156,241158733319.3114
157,157,-484188877487.3882
157,158,237836519151.29916
158,72,2628988805.7786603
158,73,-20659949.850111526
158,74,-2608328855.9285474
158,157,241619133166.09192
158,158,-484682721182.44354
158,159,237826270354.6444
159,73,2651661188.2050176
159,74,-21755411.691165198
159,75,-2629905776.5138526
159,158,241777293228.02832
159,159,-484874342087.099
159,160,237815481894.35175
160,74,2672074514.937665
160,75,-21168216.68606245
160,76,-2650906298.2516026
160,159,241628690313.71545
160,160,-484756652760.3876
160,161,237804981633.48288
161,75,2700490560.6425834
161,76,-24906991.47932036
161,77,-2675583569.1632633
161,160,242253039497.6835
161,161,-485421756625.51636
161,162,237792642998.02704
162,76,2759448584.7704062
162,77,-42256045.887208246
162,78,-2717192538.883198
162,161,245246151064.8784
162,162,-488494630701.6991
162,163,237771838513.16708
163,77,2804858538.123617
163,78,-44180959.62729308
163,79,-2760677578.496324
163,162,245443177778.31015
163,163,-488758809888.29065
163,164,237750095993.3605
164,78,2809710699.9296308
164,79,-24624465.832570635
164,80,-2785086234.09706
164,163,241972838054.37747
164,164,-485305526653.9644
164,165,237737891665.56015
165,79,2819936646.639079
165,80,-17479379.243138086
165,81,-2802457267.395941
165,164,240712759552.94556
165,165,-484064359615.89136
165,166,237729206148.9107
166,80,2737286628.5760207
166,81,32393642.71859277
166,82,-2769680271.294614
166,165,232200856292.8313
166,166,-475453417839.6633
166,167,237745594646.96136
167,81,2916979412.076212
167,82,-74603587.27751973
167,83,-2842375824.7986917
167,166,250389552933.0701
167,167,-493858155040.1544
167,168,237709246870.20932
168,82,2936212090.770631
168,83,-47299100.85763177
168,84,-2888912989.9129987
168,167,245556818580.71036
168,168,-489067921949.04614
168,169,237685978287.65216
169,83,3238049807.3411202
169,84,-179546227.08932585
169,85,-3058503580.251795
169,168,266411289952.07153
169,169,-510309026332.1472
169,170,237601182992.4828
170,84,26515487273.00879
170,85,-26515487273.00879
170,169,2059867179612.8308
170,170,-2086382666885.8396
